,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
55495,0.535,1967,0.132,"['Big Brother & The Holding Company', 'Janis Joplin']",0.619,143360,0.416,0,6uwJgwm1ipdr7JKNfEjjV1,2.63e-05,7,0.6609999999999999,-10.639,1,Easy Rider,2,1967,0.0358,78.653
70834,0.969,1961,0.746,['Tennessee Ernie Ford'],0.75,137427,0.596,0,4wbjrbDioeNV8YAF55NaqY,0.0,10,0.341,-8.271,1,Flight Of Doodles,1,1961-07-10,0.0981,112.074
123825,0.479,2020,0.0773,"['Future', 'Lil Uzi Vert']",0.942,189147,0.5660000000000001,1,0anUgBvnA4u5LsHUeLRprc,0.0,11,0.11,-4.834,1,Tic Tac,3,2020-11-13,0.226,132.858
13543,0.813,1966,0.6459999999999999,['The Monks'],0.777,131320,0.746,0,1YqnVgzk9CEu8iOmcIy5J4,0.0002,2,0.0813,-8.421,1,We Do Wie Du,1,1966-03-01,0.0469,128.559
152519,0.458,1976,0.755,['Tyrone Davis'],0.49,246267,0.319,0,085UkT3UNETIagujB3BpJV,0.0843,4,0.0873,-14.472,0,Close to You,1,1976,0.0319,158.15
104007,0.3670000000000001,2016,0.261,"['Jelly Roll', 'Lil Wyte', 'DJ Paul']",0.885,260063,0.498,1,3E99aSAFKvgFAK4CtOoZVd,0.00171,0,0.6729999999999999,-8.06,1,Problem Wit It (feat. DJ Paul),3,2016-11-18,0.0556,119.988
134055,0.753,1977,0.6990000000000001,['Bob Marley & The Wailers'],0.67,67893,0.267,0,5fxLtrn1i4dEDnzdEScZUV,2.37e-05,8,0.0752,-16.1,1,Exodus - Radio Advertisement,2,1977-01-03,0.469,131.911
44315,0.45,2013,0.141,['Kanye West'],0.485,234853,0.604,1,52NmkyHsGsHGb1UX8fTkMg,0.0,1,0.0668,-4.591,1,I'm In It,3,2013-06-18,0.345,170.33700000000005
57876,0.298,2020,0.00473,"['Machine Gun Kelly', 'blackbear']",0.731,139461,0.675,1,2pIAlUHOhM9ijF4kJr7ZNY,0.0,5,0.141,-5.134,0,my ex's best friend (with blackbear),3,2020-09-29,0.0434,124.939
76394,0.753,1981,0.284,['Kenny Rogers'],0.387,181909,0.755,0,47MRiBHx2T4ot5mTgX85j8,0.000349,5,0.251,-6.859,0,My Favorite Things,1,1981-10-26,0.0412,187.698
138496,0.441,1993,0.8190000000000001,['Wu-Tang Clan'],0.677,413000,0.252,1,1Mi6uegC4pRxQZw1CB5Fk9,1.77e-06,7,0.234,-17.794,1,Can It Be All So Simple / Intermission,3,1993-11-09,0.555,91.484
45920,0.13,1953,0.897,"['Les Paul', 'Mary Ford']",0.268,131427,0.0846,0,0gYjuborvaxDLVDUke3GIg,0.000256,9,0.0975,-14.531,1,Whither Thou Goest,0,1953-01-01,0.0325,84.75299999999999
88896,0.452,1992,0.0116,['SWV'],0.621,317360,0.583,0,4zAxfkmJqsaHqFu1YPMS5a,0.0,1,0.115,-10.127,0,You're Always On My Mind,3,1992-10-27,0.0345,137.534
11096,0.46,1959,0.908,['Gilbert Bécaud'],0.626,132453,0.503,0,6iwvq2MZs2XiGAS6MnrjAH,0.0,8,0.13,-5.965,1,Mes mains,1,1959,0.0747,115.241
53038,0.266,2001,0.44,['Marco Antonio Solís'],0.286,257400,0.465,0,5fUMiojNarx83jSyA1MhFH,0.000916,7,0.141,-4.215,0,Donde Estara Mi Primavera,3,2001-01-01,0.0312,175.86
143710,0.0396,2005,0.5589999999999999,['Patrick Doyle'],0.175,174440,0.248,0,4H3KBBAe2Fcgv9lH6E10Oe,0.966,11,0.189,-16.707,0,Harry in Winter,3,2005-11-09,0.0423,110.447
142911,0.1689999999999999,1982,0.861,"['Carol Hall', 'Dolly Parton']",0.524,235693,0.108,0,6O8eWrO3EgoqDsBUqDSHID,2.19e-05,1,0.118,-18.875,1,Hard Candy Christmas,1,1982-01-01,0.0296,99.981
115441,0.353,1952,0.995,"['Lata Mangeshkar', 'Talat Mahmood']",0.447,195120,0.0705,0,1UzLQyZqrEP7I1xdANk9j3,0.935,10,0.118,-20.418,1,Ek Bewafa Ko,0,1952-01-01,0.0402,141.366
156949,0.231,1958,0.857,['Martin Denny'],0.33,176960,0.434,0,7M9NwEspqQuP6kund2xfk9,0.000595,4,0.0888,-13.695,0,Summertime,0,1958-01-01,0.0566,188.264
149870,0.88,1926,0.78,['Fats Waller'],0.6659999999999999,161867,0.304,0,7gQU7Q2HlQ1xsb4UOIxmks,0.25,7,0.03,-17.365,1,Darktown Strutters Ball,0,1926,0.133,107.246
170154,0.274,1964,0.968,['Dean Martin'],0.425,134213,0.0549,0,4iOFAH9FahG23udXHi83G9,0.0,3,0.104,-15.018,1,"Baby, Won't You Please Come Home",1,1964,0.0544,198.999
6215,0.6509999999999999,1963,0.748,['Hank Snow'],0.581,140267,0.401,0,1kwGxVGHb3GX8pQOAsrN43,0.0,11,0.243,-13.285,1,Waiting for a Train,1,1963-12-17,0.0302,105.513
165766,0.29,1959,0.8640000000000001,['Ritchie Valens'],0.472,150973,0.225,0,0VE4ayVlGs5DBoqOdgJ0Zv,0.0,5,0.111,-12.581,1,Donna - Single Version,3,1959,0.0263,100.299
51643,0.207,1969,0.857,['Moondog'],0.373,359960,0.31,0,42rI2rat4QchcHyFkH9ezY,0.337,10,0.104,-15.666,1,Minisym #1 - Instrumental,1,1969-01-01,0.0555,109.021
148088,0.463,1973,0.472,['Son Seals'],0.49,362400,0.338,0,5KZrHPwscBkXturVJCJlM4,4.31e-06,2,0.109,-13.657,1,Now That I'm Down,3,1973,0.2,140.533
133929,0.277,1952,0.965,['MGM Studio Orchestra'],0.37,69973,0.101,0,0q5DqC4hUYcJ7JMHpfLBfJ,0.784,7,0.291,-19.316,1,From Dueling To Dancing,0,1952-04-11,0.0451,66.946
133813,0.805,1996,0.00253,['2Pac'],0.8009999999999999,278387,0.908,1,20fBuVybkHgjF6vNhSMROD,0.000655,2,0.0698,-6.553999999999999,1,Ambitionz Az A Ridah,3,1996,0.221,87.279
37940,0.399,1987,0.713,['The Cure'],0.45,272400,0.339,0,0xmUuuOUgAWamupKYU41Qv,0.00957,6,0.15,-16.428,1,One More Time,1,1987-05-25,0.03,102.246
51753,0.7390000000000001,1930,0.995,['Paradosiako I. KIriakatis'],0.408,175957,0.419,0,7KaYzQCfjF7b3Ip1Ay2fsZ,0.7959999999999999,6,0.532,-14.557,0,Papadia,0,1930-01-01,0.0484,112.893
39419,0.565,2010,0.114,"['Gorillaz', 'Hypnotic Brass Ensemble', 'Mos Def']",0.7240000000000001,320467,0.8029999999999999,0,5SM5amC17V4itA5jxIICjS,0.0,5,0.214,-4.017,0,Sweepstakes (feat. Mos Def and Hypnotic Brass Ensemble),3,2010-03-03,0.178,138.17
42106,0.5529999999999999,2019,0.602,['LOCASH'],0.547,193027,0.8220000000000001,0,28uL97M3whSL1UWqr7hsNh,0.0,5,0.107,-2.85,1,One Big Country Song,3,2019-03-29,0.0334,81.98100000000002
119363,0.484,2002,6.790000000000001e-05,['Avril Lavigne'],0.487,204000,0.9,0,00Mb3DuaIH1kjrwOku9CGU,0.0,0,0.358,-4.417,1,Sk8er Boi,3,2002-06-04,0.0482,149.937
43565,0.4970000000000001,2012,0.0355,"['Miel San Marcos', 'Tony Pérez']",0.429,99093,0.929,0,7APlp9ZOXPuv9CzONC68T8,0.0,0,0.8240000000000001,-3.176,0,El Señor Es Mi Rey (feat. Tony Perez),3,2012-11-10,0.0754,153.289
34167,0.836,1978,0.631,['L.T.D.'],0.7020000000000001,240000,0.528,0,5rSjfblaAH7g9idzm1EIvR,6.63e-06,9,0.0596,-9.195,0,Don't Stop Loving Me Now,2,1978-05-23,0.0378,102.664
47118,0.922,1930,0.994,['Giorgos Papasideris'],0.459,190920,0.482,0,4hd6Mh1L1NO1E8V2dIpA7p,0.939,7,0.306,-8.187999999999999,0,Kateva Lampro Stin Avli,0,1930-01-01,0.0376,86.779
153806,0.607,1925,0.97,['Louis Armstrong & His Hot Five'],0.672,182400,0.146,0,1qEXqZQkzIaUnhmfObk2sL,0.0182,0,0.101,-13.417,1,Skid-Dat-De-Dat,0,1925,0.0472,122.127
74250,0.649,1935,0.416,['Эрнест Хемингуэй'],0.72,107061,0.177,1,7gsIvfRSwfXOG7Obz6R8DC,0.0,11,0.239,-17.729,0,Часть 76.4 & Часть 77.1 - Зеленые холмы Африки,0,1935,0.94,130.056
163478,0.145,1957,0.906,['Keely Smith'],0.397,157000,0.12,0,3Nt45Az874D6gZcrEYdHwH,0.0,0,0.0694,-11.783,1,You Go To My Head,0,1957-02-02,0.0336,109.354
111851,0.861,1992,0.158,['Marito Rivera Y Su Grupo Bravo'],0.88,286563,0.53,0,6aBTkj4ZtJgEmXW4JmnXVx,0.00207,8,0.0504,-13.524,1,Aventurero,2,1992,0.0488,104.681
166623,0.196,2011,0.279,['Mindless Behavior'],0.667,240653,0.726,0,70jb2bIurVzYfxhhsRd4ew,0.0,11,0.11,-4.857,1,My Girl,3,2011,0.077,148.168
26875,0.207,1990,0.00267,"['Neil Young', 'Crazy Horse']",0.29,355000,0.6809999999999999,0,6w9hCyiSCLjgmSRyKFrnxp,0.00119,7,0.106,-12.254,1,F*!#in' Up,2,1990-09-04,0.0493,125.378
164001,0.271,1926,0.371,"['Georgette Heyer', 'Irina Salkow']",0.759,122398,0.134,0,2zeYFAkMdVfyA7Gh68xVl2,1.08e-06,3,0.163,-22.54,0,Kapitel 417 - Der Page und die Herzogin,0,1926,0.942,53.295
167737,0.647,1955,0.8809999999999999,"['Hazel Scott', 'Max Roach', 'Charles Mingus']",0.388,238773,0.275,0,0poaEgRxfEI8obTwHB1hfC,0.873,7,0.115,-21.599,0,The Jeep Is Jumpin',0,1955-01-21,0.0348,146.596
121971,0.219,1926,0.461,"['Georgette Heyer', 'Irina Salkow']",0.64,121875,0.142,0,7E6EduFovgsK52bxmAsi8m,0.0,11,0.155,-20.81,1,Kapitel 27 - Der Page und die Herzogin,0,1926,0.956,164.828
37320,0.273,1963,0.688,['The Everly Brothers'],0.481,174747,0.155,0,3wDyiPKkBJvY8zcXMJQ70S,3.89e-05,11,0.115,-15.613,1,I'm so Lonesome I Could Cry,1,1963,0.0274,80.872
135438,0.722,1978,0.0347,['The Clash'],0.5820000000000001,195240,0.8540000000000001,0,0FuigsRUH9SPy5MfhHb3TT,7.2e-05,9,0.201,-5.818,1,Guns On the Roof - Remastered,1,1978,0.158,145.55100000000004
102140,0.583,1968,0.633,['The Band'],0.564,174022,0.456,0,4BdNQTF3bQXghWvkuqtCxP,0.000161,7,0.163,-9.238,1,Caledonia Mission - Remastered,2,1968-07-01,0.0687,123.067
